dam_id,dam_name,state,name_storage,namo_storage,current_storage,fill_percent,log_date
1,Aguamilpa,Nayarit,4047.31,2850.71,1142,0.4,19/03/2021
2,Laguna de Catemaco,Veracruz,133.22,88.26,41.89,0.47,19/03/2021
3,Angostura,Chiapas,17356.9,13169.63,10409.25,0.79,19/03/2021
4,Infiernillo,Michoacán,11880.78,6054.31,2637.46,0.44,19/03/2021
5,La Yesca,Jalisco,1491.99,1392.02,803.75,0.58,19/03/2021
6,El Caracol,Guerrero,823.39,697.46,608.04,0.87,19/03/2021
7,Zimapán,Hidalgo,769,699,583.31,0.83,19/03/2021
8,La Villita,Michoacán,362.31,221.29,187.06,0.85,19/03/2021
9,Apulco o Mazatepec,Puebla,13.62,12.54,4.88,0.39,19/03/2021
10,El Cajón,Nayarit,1446.1,1335.13,778.03,0.58,19/03/2021
11,Huites,Sinaloa,4069.09,2703.99,21.1,0.01,19/03/2021
12,Santa Rosa,Jalisco,211.13,195.63,56.52,0.29,19/03/2021
13,Chicoasén,Chiapas,259.56,205.98,193.05,0.94,19/03/2021
14,Malpaso Raudales de Malpaso,Chiapas,11000.59,9317.39,6767.36,0.73,19/03/2021
15,El Novillo,Sonora,3312.48,2633.58,1008.12,0.38,19/03/2021
16,Temascal,Oaxaca,7884.64,6898.19,3741.2,0.54,19/03/2021
17,Peñitas,Chiapas,397.12,215.04,179.43,0.83,19/03/2021
18,Abelardo L. Rodríguez,Aguascalientes,18.82,16,4.91,0.31,19/03/2021
19,Abelardo L. Rodríguez o Tijuana,Baja California,121.39,76.9,14.92,0.19,19/03/2021
20,Hermosillo,Sonora,284.47,219.52,0,0,19/03/2021
21,Guadalupe,Chihuahua,102.89,79.35,33.02,0.42,19/03/2021
22,Vaqueros,Jalisco,12.21,7.36,1.97,0.27,19/03/2021
23,El Humaya o El Varejonal,Sinaloa,4034.52,3086.61,629.21,0.2,19/03/2021
24,Mocuzari,Sonora,1822.14,1039.84,19.71,0.02,19/03/2021
25,Mata De Pinos,Michoacán,18.75,15.68,7.61,0.49,19/03/2021
26,Dique 10 Son.,Sonora,41.16,37.58,34.92,0.93,19/03/2021
27,Las Garzas,Guerrero,133.03,102.5,61.66,0.6,19/03/2021
28,Wilson,Michoacán,28.31,25.34,3.89,0.15,19/03/2021
29,Las Piedras,Jalisco,146.89,124.75,89.59,0.72,19/03/2021
30,Canoas,Durango,57.88,45,38.78,0.86,19/03/2021
31,Tomatlán o El Tule,Jalisco,707.62,466.69,349.26,0.75,19/03/2021
32,Cañada del Lobo S.L.P.,San Luis Potosí,2.16,1.24,0.3,0.24,19/03/2021
33,Chihuahua,Chihuahua,35.63,23.38,11.77,0.5,19/03/2021
34,Chila,Jalisco,1,0.76,0.59,0.77,19/03/2021
35,San José de Gracia,Aguascalientes,5.04,4.1,3.87,0.94,19/03/2021
36,Cointzio,Michoacán,79.23,68.52,41.23,0.6,19/03/2021
37,Hidalgo,Querétaro,76.46,66.08,3.73,0.06,19/03/2021
38,Chilatan,Michoacán,807.15,590.03,335.2,0.57,19/03/2021
39,Copándaro De Corrales,Michoacán,9.72,2.75,0.01,0,19/03/2021
40,Corrinchis,Jalisco,29,20,7.2,0.36,19/03/2021
41,Santa Teresa,Sonora,66.33,41.47,1.63,0.04,19/03/2021
