dam_id,dam_name,state,name_storage,namo_storage,current_storage,fill_percent,log_date
1,Aguamilpa,Nayarit,4047.31,2850.71,1109.22,0.39,25/03/2021
2,Laguna de Catemaco,Veracruz,133.22,88.26,37.48,0.42,25/03/2021
3,Angostura,Chiapas,17356.9,13169.63,10197.79,0.77,25/03/2021
4,Infiernillo,Michoacán,11880.78,6054.31,2604.15,0.43,25/03/2021
5,La Yesca,Jalisco,1491.99,1392.02,806.9,0.58,25/03/2021
6,El Caracol,Guerrero,823.39,697.46,621.53,0.89,25/03/2021
7,Zimapán,Hidalgo,769,699,584.19,0.84,25/03/2021
8,La Villita,Michoacán,362.31,221.29,189.6,0.86,25/03/2021
9,Apulco o Mazatepec,Puebla,13.62,12.54,4.44,0.35,25/03/2021
10,El Cajón,Nayarit,1446.1,1335.13,776.55,0.58,25/03/2021
11,Huites,Sinaloa,4069.09,2703.99,5.16,0,25/03/2021
12,Santa Rosa,Jalisco,211.13,195.63,57.19,0.29,25/03/2021
13,Chicoasén,Chiapas,259.56,205.98,186.47,0.91,25/03/2021
14,Malpaso Raudales de Malpaso,Chiapas,11000.59,9317.39,6702.29,0.72,25/03/2021
15,El Novillo,Sonora,3312.48,2633.58,991.45,0.38,25/03/2021
16,Temascal,Oaxaca,7884.64,6898.19,3617.65,0.52,25/03/2021
17,Peñitas,Chiapas,397.12,215.04,167.97,0.78,25/03/2021
18,Abelardo L. Rodríguez,Aguascalientes,18.82,16,4.91,0.31,25/03/2021
19,Abelardo L. Rodríguez o Tijuana,Baja California,121.39,76.9,14.92,0.19,25/03/2021
20,Hermosillo,Sonora,284.47,219.52,0,0,25/03/2021
21,Guadalupe,Chihuahua,102.89,79.35,32.09,0.4,25/03/2021
22,Vaqueros,Jalisco,12.21,7.36,1.85,0.25,25/03/2021
23,El Humaya o El Varejonal,Sinaloa,4034.52,3086.61,576.15,0.19,25/03/2021
24,Mocuzari,Sonora,1822.14,1039.84,10.08,0.01,25/03/2021
25,Mata De Pinos,Michoacán,18.75,15.68,6.71,0.43,25/03/2021
26,Dique 10 Son.,Sonora,41.16,37.58,35.28,0.94,25/03/2021
27,Las Garzas,Guerrero,133.03,102.5,58.66,0.57,25/03/2021
28,Wilson,Michoacán,28.31,25.34,3.58,0.14,25/03/2021
29,Las Piedras,Jalisco,146.89,124.75,86.92,0.7,25/03/2021
30,Canoas,Durango,57.88,45,38.51,0.86,25/03/2021
31,Tomatlán o El Tule,Jalisco,707.62,466.69,338.89,0.73,25/03/2021
32,Cañada del Lobo S.L.P.,San Luis Potosí,2.16,1.24,0.3,0.24,25/03/2021
