dam_id,dam_name,state,name_storage,namo_storage,current_storage,fill_percent,log_date
1,Aguamilpa,Nayarit,4047.31,2850.71,1043.34,0.37,16/05/2021
2,Laguna de Catemaco,Veracruz,133.22,88.26,5.14,0.06,16/05/2021
3,Angostura,Chiapas,17356.9,13169.6,7657.64,0.58,16/05/2021
4,Infiernillo,Michoacán,11880.8,4843.75,1557.4,0.32,16/05/2021
5,La Yesca,Jalisco,1491.99,1392.02,400.19,0.29,16/05/2021
6,El Caracol,Guerrero,823.39,697.46,425.97,0.61,16/05/2021
7,Zimapán,Hidalgo,769,699,504.08,0.72,16/05/2021
8,La Villita,Michoacán,362.31,221.29,194.03,0.88,16/05/2021
9,Apulco o Mazatepec,Puebla,13.62,12.54,5.11,0.41,16/05/2021
10,El Cajón,Nayarit,1446.1,1335.13,843.88,0.63,16/05/2021
11,Huites,Sinaloa,4069.09,2703.99,9.61,0,16/05/2021
12,Santa Rosa,Jalisco,211.13,195.63,47.48,0.24,16/05/2021
13,Chicoasén,Chiapas,259.56,205.98,185.68,0.9,16/05/2021
14,Malpaso Raudales de Malpaso,Chiapas,11000.6,9317.39,6271.15,0.67,16/05/2021
15,El Novillo,Sonora,3312.48,2633.58,785.53,0.3,16/05/2021
16,Temascal,Oaxaca,7884.64,6898.19,2402.48,0.35,16/05/2021
17,Peñitas,Chiapas,397.12,215.04,175.13,0.81,16/05/2021
18,Abelardo L. Rodríguez,Aguascalientes,18.82,16,4.47,0.28,16/05/2021
19,Abelardo L. Rodríguez o Tijuana,Baja California,121.39,76.9,14.73,0.19,16/05/2021
20,Hermosillo,Sonora,284.47,219.52,0,0,16/05/2021
21,Guadalupe,Chihuahua,102.89,79.35,23.85,0.3,16/05/2021
22,Vaqueros,Jalisco,12.21,7.36,0.87,0.12,16/05/2021
23,El Humaya o El Varejonal,Sinaloa,4034.52,3086.61,207.18,0.07,16/05/2021
24,Mocuzari,Sonora,1822.14,950.25,12.29,0.01,16/05/2021
25,Mata De Pinos,Michoacán,18.75,15.68,2.35,0.15,16/05/2021
26,Dique 10 Son.,Sonora,41.16,37.58,30.84,0.82,16/05/2021
27,Las Garzas,Guerrero,133.03,102.5,34.6,0.34,16/05/2021
28,Wilson,Michoacán,28.31,25.34,2.13,0.08,16/05/2021
29,Las Piedras,Jalisco,146.89,124.75,64.56,0.52,16/05/2021
30,Canoas,Durango,57.88,45,33.77,0.75,16/05/2021
31,Tomatlán o El Tule,Jalisco,707.62,442.76,255.11,0.58,16/05/2021
32,Cañada del Lobo S.L.P.,San Luis Potosí,2.16,1.24,0.27,0.22,16/05/2021
