dam_id,dam_name,state,name_storage,namo_storage,current_storage,fill_percent,log_date
1,Aguamilpa,Nayarit,4047.31,2850.71,1290.09,0.45,03/02/2021
2,Laguna de Catemaco,Veracruz,133.22,88.26,80.16,0.91,03/02/2021
3,Angostura,Chiapas,17356.9,13169.63,11583.29,0.88,03/02/2021
4,Infiernillo,Michoacán,11880.78,6054.31,3171.73,0.52,03/02/2021
5,La Yesca,Jalisco,1491.99,1392.02,789.21,0.57,03/02/2021
6,El Caracol,Guerrero,823.39,697.46,699.8,1,03/02/2021
7,Zimapán,Hidalgo,769,699,559.2,0.8,03/02/2021
8,La Villita,Michoacán,362.31,221.29,187.7,0.85,03/02/2021
9,Apulco o Mazatepec,Puebla,13.62,12.54,4.91,0.39,03/02/2021
10,El Cajón,Nayarit,1446.1,1335.13,828.71,0.62,03/02/2021
11,Huites,Sinaloa,4069.09,2703.99,149.49,0.06,03/02/2021
12,Santa Rosa,Jalisco,211.13,195.63,118.48,0.61,03/02/2021
13,Chicoasén,Chiapas,259.56,205.98,179.7,0.87,03/02/2021
14,Malpaso Raudales de Malpaso,Chiapas,11000.59,9317.39,7402.75,0.79,03/02/2021
15,El Novillo,Sonora,3312.48,2633.58,1135.05,0.43,03/02/2021
16,Temascal,Oaxaca,7884.64,6898.19,4314.87,0.63,03/02/2021
17,Peñitas,Chiapas,397.12,215.04,173.7,0.81,03/02/2021
18,Abelardo L. Rodríguez,Aguascalientes,18.82,16,5.25,0.33,03/02/2021
19,Abelardo L. Rodríguez o Tijuana,Baja California,121.39,76.9,14.76,0.19,03/02/2021
20,Hermosillo,Sonora,284.47,219.52,0,0,03/02/2021
21,Guadalupe,Chihuahua,102.89,79.35,34.89,0.44,03/02/2021
22,Vaqueros,Jalisco,12.21,7.36,2.97,0.4,03/02/2021
23,El Humaya o El Varejonal,Sinaloa,4034.52,3086.61,938.87,0.3,03/02/2021
24,Mocuzari,Sonora,1822.14,1039.84,192.75,0.19,03/02/2021
25,Mata De Pinos,Michoacán,18.75,15.68,12.1,0.77,03/02/2021
26,Dique 10 Son.,Sonora,41.16,37.58,33.7,0.9,03/02/2021
27,Las Garzas,Guerrero,133.03,102.5,83.41,0.81,03/02/2021
28,Wilson,Michoacán,28.31,25.34,5.54,0.22,03/02/2021
29,Las Piedras,Jalisco,146.89,124.75,108.4,0.87,03/02/2021
30,Canoas,Durango,57.88,45,42.35,0.94,03/02/2021
31,Tomatlán o El Tule,Jalisco,707.62,466.69,413.73,0.89,03/02/2021
32,Cañada del Lobo S.L.P.,San Luis Potosí,2.16,1.24,0.33,0.27,03/02/2021
33,Chihuahua,Chihuahua,35.63,23.38,12.01,0.51,03/02/2021
34,Chila,Jalisco,1,0.76,0.59,0.77,03/02/2021
35,San José de Gracia,Aguascalientes,5.04,4.1,3.94,0.96,03/02/2021
36,Cointzio,Michoacán,79.23,68.52,44.54,0.65,03/02/2021
37,Hidalgo,Querétaro,76.46,66.08,5.01,0.08,03/02/2021
38,Chilatan,Michoacán,807.15,590.03,412.78,0.7,03/02/2021
39,Copándaro De Corrales,Michoacán,9.72,2.75,0.06,0.02,03/02/2021
40,Corrinchis,Jalisco,29,20,11.98,0.6,03/02/2021
41,Santa Teresa,Sonora,66.33,41.47,2.49,0.06,03/02/2021
42,El Cuchillo,Nuevo León,1784.29,1123.14,810.46,0.72,03/02/2021
43,Los Gigantes,Jalisco,8.85,7.5,4.33,0.58,03/02/2021
