dam_id,dam_name,state,name_storage,namo_storage,current_storage,fill_percent,log_date
1,Aguamilpa,Nayarit,4047.31,2850.71,1240.55,0.44,25/02/2021
2,Laguna de Catemaco,Veracruz,133.22,88.26,61.76,0.7,25/02/2021
3,Angostura,Chiapas,17356.9,13169.63,10990.75,0.83,25/02/2021
4,Infiernillo,Michoacán,11880.78,6054.31,2944.84,0.49,25/02/2021
5,La Yesca,Jalisco,1491.99,1392.02,767.01,0.55,25/02/2021
6,El Caracol,Guerrero,823.39,697.46,581.05,0.83,25/02/2021
7,Zimapán,Hidalgo,769,699,573.7,0.82,25/02/2021
8,La Villita,Michoacán,362.31,221.29,188.65,0.85,25/02/2021
9,Apulco o Mazatepec,Puebla,13.62,12.54,4.78,0.38,25/02/2021
10,El Cajón,Nayarit,1446.1,1335.13,793.2,0.59,25/02/2021
11,Huites,Sinaloa,4069.09,2703.99,165.1,0.06,25/02/2021
12,Santa Rosa,Jalisco,211.13,195.63,96.94,0.5,25/02/2021
13,Chicoasén,Chiapas,259.56,205.98,169.07,0.82,25/02/2021
14,Malpaso Raudales de Malpaso,Chiapas,11000.59,9317.39,7243.52,0.78,25/02/2021
15,El Novillo,Sonora,3312.48,2633.58,1065.04,0.4,25/02/2021
16,Temascal,Oaxaca,7884.64,6898.19,4101.55,0.59,25/02/2021
17,Peñitas,Chiapas,397.12,215.04,174.93,0.81,25/02/2021
18,Abelardo L. Rodríguez,Aguascalientes,18.82,16,5.19,0.32,25/02/2021
19,Abelardo L. Rodríguez o Tijuana,Baja California,121.39,76.9,14.8,0.19,25/02/2021
20,Hermosillo,Sonora,284.47,219.52,0,0,25/02/2021
21,Guadalupe,Chihuahua,102.89,79.35,34.28,0.43,25/02/2021
22,Vaqueros,Jalisco,12.21,7.36,2.59,0.35,25/02/2021
23,El Humaya o El Varejonal,Sinaloa,4034.52,3086.61,796.45,0.26,25/02/2021
24,Mocuzari,Sonora,1822.14,1039.84,104.66,0.1,25/02/2021
25,Mata De Pinos,Michoacán,18.75,15.68,10.37,0.66,25/02/2021
26,Dique 10 Son.,Sonora,41.16,37.58,34.35,0.91,25/02/2021
27,Las Garzas,Guerrero,133.03,102.5,73.12,0.71,25/02/2021
28,Wilson,Michoacán,28.31,25.34,5.03,0.2,25/02/2021
29,Las Piedras,Jalisco,146.89,124.75,99.07,0.79,25/02/2021
30,Canoas,Durango,57.88,45,41.27,0.92,25/02/2021
31,Tomatlán o El Tule,Jalisco,707.62,466.69,383.78,0.82,25/02/2021
32,Cañada del Lobo S.L.P.,San Luis Potosí,2.16,1.24,0.32,0.26,25/02/2021
33,Chihuahua,Chihuahua,35.63,23.38,11.91,0.51,25/02/2021
34,Chila,Jalisco,1,0.76,0.59,0.77,25/02/2021
35,San José de Gracia,Aguascalientes,5.04,4.1,3.9,0.95,25/02/2021
36,Cointzio,Michoacán,79.23,68.52,42.99,0.63,25/02/2021
37,Hidalgo,Querétaro,76.46,66.08,4.34,0.07,25/02/2021
38,Chilatan,Michoacán,807.15,590.03,372.38,0.63,25/02/2021
39,Copándaro De Corrales,Michoacán,9.72,2.75,0.06,0.02,25/02/2021
40,Corrinchis,Jalisco,29,20,9.2,0.46,25/02/2021
41,Santa Teresa,Sonora,66.33,41.47,2.11,0.05,25/02/2021
42,El Cuchillo,Nuevo León,1784.29,1123.14,634.64,0.57,25/02/2021
43,Los Gigantes,Jalisco,8.85,7.5,4.33,0.58,25/02/2021
44,Danxho,Estado de México,32.67,31.05,13.9,0.45,25/02/2021
45,De Gonzalo,Michoacán,10,8.84,5.38,0.61,25/02/2021
46,Derivadora Las Blancas,Tamaulipas,133.43,83.78,14.23,0.17,25/02/2021
47,Der. Potrerillos,Aguascalientes,2.1,2.04,1.2,0.59,25/02/2021
48,Los Arcos,Querétaro,8.04,5.79,1.27,0.22,25/02/2021
49,El Bosque,Michoacán,220.1,202.4,98.4,0.49,25/02/2021
50,El Carrizo,Baja California,44.59,40.87,23,0.56,25/02/2021
51,El Cazadero,Zacatecas,44.68,22.18,18.43,0.83,25/02/2021
52,El Centenario,Coahuila,25.71,24.59,17.29,0.7,25/02/2021
53,El Centenario,Querétaro,14.18,9.78,1.43,0.15,25/02/2021
54,El Chique,Zacatecas,192.57,138.91,87.4,0.63,25/02/2021
55,El Cuarenta,Jalisco,38.96,30.63,10.91,0.36,25/02/2021
56,El Estribón,Jalisco,7.74,6.38,5.05,0.79,25/02/2021
57,El Gallo,Guerrero,545.97,400.04,331.14,0.83,25/02/2021
58,El Granero,Chihuahua,832.41,292.47,149.01,0.51,25/02/2021
59,Molinitos,Estado de México,8.7,7.69,0.94,0.12,25/02/2021
60,Piedra Labrada,Veracruz,8.13,2.5,2.49,1,25/02/2021
61,El Niagara,Aguascalientes,31.7,16.19,16.16,1,25/02/2021
62,El Palote,Guanajuato,17.16,9.64,5.08,0.53,25/02/2021
63,El Potosino,San Luis Potosí,5.2,3.29,1.27,0.39,25/02/2021
64,El Rejón,Chihuahua,7.76,6.53,3.4,0.52,25/02/2021
65,El Rodeo,Morelos,33.14,26.98,5.94,0.22,25/02/2021
66,El Salto,Jalisco,118.54,85,77.86,0.92,25/02/2021
67,El Tigre,Durango,18.56,14,6.33,0.45,25/02/2021
68,El Tintero,Chihuahua,216.7,125.08,23.41,0.19,25/02/2021
69,Ensenada,Baja California,6.34,2.73,1.16,0.42,25/02/2021
70,Endó,Hidalgo,208.65,182.9,128.23,0.7,25/02/2021
71,Las Ánimas,Tamaulipas,654.37,563.44,250.72,0.44,25/02/2021
72,Isla de las Aves o El Salto,Estado de México,12.32,9.93,3.88,0.39,25/02/2021
73,El Bosque,Durango,96.57,73.26,68.76,0.94,25/02/2021
74,Las Tortolas,Durango,383.16,309.24,268.91,0.87,25/02/2021
75,Trujillo,Zacatecas,125.92,95.72,49.05,0.51,25/02/2021
76,El Peaje,San Luis Potosí,9.05,6.69,0.92,0.14,25/02/2021
77,San Antonio,Michoacán,29.79,28.68,4,0.14,25/02/2021
78,Bacurato,Sinaloa,2687.07,1618.75,407.05,0.25,25/02/2021
79,Huapango,Estado de México,126.5,121.3,6.2,0.05,25/02/2021
80,Valencia,Jalisco,22.63,21.73,12.29,0.57,25/02/2021
81,La Begoña,Guanajuato,241.41,170.79,27.21,0.16,25/02/2021
82,Punta de Agua,Sonora,29.69,16.16,0.4,0.02,25/02/2021
83,La Gavia,Estado de México,36.3,20.23,20.23,1,25/02/2021
84,Santa Teresa,Zacatecas,13.94,9.17,7.75,0.85,25/02/2021
85,El Salto o Elota,Sinaloa,815.59,403.9,122.35,0.3,25/02/2021
86,Agua Puerca,Durango,56.06,30.76,14.26,0.46,25/02/2021
87,Puente Calderón,Jalisco,100,80,13.24,0.17,25/02/2021
88,El Sabinal o El Cajón,Sinaloa,469.2,294.58,72.54,0.25,25/02/2021
89,La Pólvora,Jalisco,56.15,51.68,23.43,0.45,25/02/2021
90,Tayahua,Zacatecas,50.38,31.6,21.02,0.67,25/02/2021
91,El Molinito,Sonora,222.47,121.2,9.31,0.08,25/02/2021
92,La Vega,Jalisco,80,44.04,36.12,0.82,25/02/2021
93,Falcón,Tamaulipas,1607.96,1351.63,83.79,0.06,25/02/2021
94,La Amistad,Coahuila,2707.44,1769.66,97.34,0.06,25/02/2021
95,Jalpan,Querétaro,11.2,8,6.72,0.84,25/02/2021
96,Jaripo,Michoacán,9.27,6.03,1.39,0.23,25/02/2021
97,La Peña,Hidalgo,43.32,39.99,28.13,0.7,25/02/2021
98,Der. Jocoqui,Aguascalientes,11.4,10.98,10.47,0.95,25/02/2021
99,El Sabino,Sinaloa,685.11,519.28,423.43,0.82,25/02/2021
100,San Bernabé,Estado de México,52.51,35.31,4.07,0.12,25/02/2021
101,Cerro Prieto,Nuevo León,393,300,63.3,0.21,25/02/2021
102,El Comedero,Sinaloa,3966.17,2580.19,526.97,0.2,25/02/2021
103,La Villita,Zacatecas,11.17,9.02,6.19,0.69,25/02/2021
104,Vinoramas,Sinaloa,102,54.68,16.27,0.3,25/02/2021
105,El Portillo II o Cuxtepeques,Chiapas,116.11,68.15,62.57,0.92,25/02/2021
106,Lago Toronto,Chihuahua,3453.58,2893.57,887.84,0.31,25/02/2021
107,La Calera,Guerrero,34.19,9.39,6.89,0.73,25/02/2021
