dam_id,dam_name,state,name_storage,namo_storage,current_storage,fill_percent,log_date
1,Aguamilpa,Nayarit,4047.31,2850.71,1232.67,0.43,14/02/2021
2,Laguna de Catemaco,Veracruz,133.22,88.26,72.07,0.82,14/02/2021
3,Angostura,Chiapas,17356.9,13169.63,11297.36,0.86,14/02/2021
4,Infiernillo,Michoacán,11880.78,6054.31,3088.21,0.51,14/02/2021
5,La Yesca,Jalisco,1491.99,1392.02,799.67,0.57,14/02/2021
6,El Caracol,Guerrero,823.39,697.46,684.34,0.98,14/02/2021
7,Zimapán,Hidalgo,769,699,568.99,0.81,14/02/2021
8,La Villita,Michoacán,362.31,221.29,191.18,0.86,14/02/2021
9,Apulco o Mazatepec,Puebla,13.62,12.54,5.16,0.41,14/02/2021
10,El Cajón,Nayarit,1446.1,1335.13,831.3,0.62,14/02/2021
11,Huites,Sinaloa,4069.09,2703.99,160.07,0.06,14/02/2021
12,Santa Rosa,Jalisco,211.13,195.63,116.95,0.6,14/02/2021
13,Chicoasén,Chiapas,259.56,205.98,164.89,0.8,14/02/2021
14,Malpaso Raudales de Malpaso,Chiapas,11000.59,9317.39,7323.14,0.79,14/02/2021
15,El Novillo,Sonora,3312.48,2633.58,1109.99,0.42,14/02/2021
16,Temascal,Oaxaca,7884.64,6898.19,4287.09,0.62,14/02/2021
17,Peñitas,Chiapas,397.12,215.04,169.41,0.79,14/02/2021
18,Abelardo L. Rodríguez,Aguascalientes,18.82,16,5.2,0.32,14/02/2021
19,Abelardo L. Rodríguez o Tijuana,Baja California,121.39,76.9,14.8,0.19,14/02/2021
20,Hermosillo,Sonora,284.47,219.52,0,0,14/02/2021
21,Guadalupe,Chihuahua,102.89,79.35,34.6,0.44,14/02/2021
22,Vaqueros,Jalisco,12.21,7.36,2.73,0.37,14/02/2021
23,El Humaya o El Varejonal,Sinaloa,4034.52,3086.61,871.08,0.28,14/02/2021
24,Mocuzari,Sonora,1822.14,1039.84,151.07,0.15,14/02/2021
