dam_id,dam_name,state,name_storage,namo_storage,current_storage,fill_percent,log_date
1,Aguamilpa,Nayarit,4047.31,2850.71,1256.33,0.44,22/02/2021
2,Laguna de Catemaco,Veracruz,133.22,88.26,63.24,0.72,22/02/2021
3,Angostura,Chiapas,17356.9,13169.63,11027.75,0.84,22/02/2021
4,Infiernillo,Michoacán,11880.78,6054.31,2963.48,0.49,22/02/2021
5,La Yesca,Jalisco,1491.99,1392.02,756.8,0.54,22/02/2021
6,El Caracol,Guerrero,823.39,697.46,571.35,0.82,22/02/2021
7,Zimapán,Hidalgo,769,699,569.86,0.82,22/02/2021
8,La Villita,Michoacán,362.31,221.29,184.85,0.84,22/02/2021
9,Apulco o Mazatepec,Puebla,13.62,12.54,5.23,0.42,22/02/2021
10,El Cajón,Nayarit,1446.1,1335.13,793.2,0.59,22/02/2021
11,Huites,Sinaloa,4069.09,2703.99,162.72,0.06,22/02/2021
12,Santa Rosa,Jalisco,211.13,195.63,105.65,0.54,22/02/2021
13,Chicoasén,Chiapas,259.56,205.98,177.31,0.86,22/02/2021
14,Malpaso Raudales de Malpaso,Chiapas,11000.59,9317.39,7294.7,0.78,22/02/2021
15,El Novillo,Sonora,3312.48,2633.58,1073.15,0.41,22/02/2021
16,Temascal,Oaxaca,7884.64,6898.19,4128.4,0.6,22/02/2021
17,Peñitas,Chiapas,397.12,215.04,170.22,0.79,22/02/2021
18,Abelardo L. Rodríguez,Aguascalientes,18.82,16,5.19,0.32,22/02/2021
19,Abelardo L. Rodríguez o Tijuana,Baja California,121.39,76.9,14.8,0.19,22/02/2021
20,Hermosillo,Sonora,284.47,219.52,0,0,22/02/2021
21,Guadalupe,Chihuahua,102.89,79.35,34.36,0.43,22/02/2021
22,Vaqueros,Jalisco,12.21,7.36,2.64,0.36,22/02/2021
23,El Humaya o El Varejonal,Sinaloa,4034.52,3086.61,816.38,0.26,22/02/2021
24,Mocuzari,Sonora,1822.14,1039.84,117.5,0.11,22/02/2021
25,Mata De Pinos,Michoacán,18.75,15.68,10.66,0.68,22/02/2021
26,Dique 10 Son.,Sonora,41.16,37.58,33.99,0.9,22/02/2021
27,Las Garzas,Guerrero,133.03,102.5,75.28,0.73,22/02/2021
28,Wilson,Michoacán,28.31,25.34,5.07,0.2,22/02/2021
29,Las Piedras,Jalisco,146.89,124.75,100.34,0.8,22/02/2021
30,Canoas,Durango,57.88,45,41.63,0.93,22/02/2021
31,Tomatlán o El Tule,Jalisco,707.62,466.69,388.12,0.83,22/02/2021
