dam_id,dam_name,state,name_storage,namo_storage,current_storage,fill_percent,log_date
1,Aguamilpa,Nayarit,4047.31,2850.71,1310.53,0.46,30/01/2021
2,Laguna de Catemaco,Veracruz,133.22,88.26,80.16,0.91,30/01/2021
3,Angostura,Chiapas,17356.9,13169.63,11672.4,0.89,30/01/2021
4,Infiernillo,Michoacán,11880.78,6054.31,3198.17,0.53,30/01/2021
5,La Yesca,Jalisco,1491.99,1392.02,787.93,0.57,30/01/2021
6,El Caracol,Guerrero,823.39,697.46,700.27,1,30/01/2021
7,Zimapán,Hidalgo,769,699,555.01,0.79,30/01/2021
8,La Villita,Michoacán,362.31,221.29,184.21,0.83,30/01/2021
9,Apulco o Mazatepec,Puebla,13.62,12.54,4.96,0.4,30/01/2021
10,El Cajón,Nayarit,1446.1,1335.13,828.71,0.62,30/01/2021
11,Huites,Sinaloa,4069.09,2703.99,148.17,0.05,30/01/2021
12,Santa Rosa,Jalisco,211.13,195.63,116.06,0.59,30/01/2021
13,Chicoasén,Chiapas,259.56,205.98,179.7,0.87,30/01/2021
14,Malpaso Raudales de Malpaso,Chiapas,11000.59,9317.39,7408.44,0.8,30/01/2021
15,El Novillo,Sonora,3312.48,2633.58,1143.61,0.43,30/01/2021
16,Temascal,Oaxaca,7884.64,6898.19,4247.41,0.62,30/01/2021
17,Peñitas,Chiapas,397.12,215.04,178.21,0.83,30/01/2021
18,Abelardo L. Rodríguez,Aguascalientes,18.82,16,5.25,0.33,30/01/2021
19,Abelardo L. Rodríguez o Tijuana,Baja California,121.39,76.9,14.76,0.19,30/01/2021
20,Hermosillo,Sonora,284.47,219.52,0,0,30/01/2021
21,Guadalupe,Chihuahua,102.89,79.35,35.01,0.44,30/01/2021
22,Vaqueros,Jalisco,12.21,7.36,3.01,0.41,30/01/2021
23,El Humaya o El Varejonal,Sinaloa,4034.52,3086.61,956.09,0.31,30/01/2021
24,Mocuzari,Sonora,1822.14,1039.84,204.7,0.2,30/01/2021
25,Mata De Pinos,Michoacán,18.75,15.68,12.46,0.79,30/01/2021
26,Dique 10 Son.,Sonora,41.16,37.58,33.06,0.88,30/01/2021
27,Las Garzas,Guerrero,133.03,102.5,84.96,0.83,30/01/2021
28,Wilson,Michoacán,28.31,25.34,5.63,0.22,30/01/2021
29,Las Piedras,Jalisco,146.89,124.75,110.07,0.88,30/01/2021
30,Canoas,Durango,57.88,45,42.43,0.94,30/01/2021
31,Tomatlán o El Tule,Jalisco,707.62,466.69,418.3,0.9,30/01/2021
32,Cañada del Lobo S.L.P.,San Luis Potosí,2.16,1.24,0.33,0.27,30/01/2021
33,Chihuahua,Chihuahua,35.63,23.38,12.03,0.51,30/01/2021
34,Chila,Jalisco,1,0.76,0.59,0.77,30/01/2021
35,San José de Gracia,Aguascalientes,5.04,4.1,3.95,0.96,30/01/2021
36,Cointzio,Michoacán,79.23,68.52,44.85,0.65,30/01/2021
37,Hidalgo,Querétaro,76.46,66.08,5.12,0.08,30/01/2021
38,Chilatan,Michoacán,807.15,590.03,419.36,0.71,30/01/2021
39,Copándaro De Corrales,Michoacán,9.72,2.75,0.06,0.02,30/01/2021
40,Corrinchis,Jalisco,29,20,11.98,0.6,30/01/2021
41,Santa Teresa,Sonora,66.33,41.47,2.5,0.06,30/01/2021
42,El Cuchillo,Nuevo León,1784.29,1123.14,913.01,0.81,30/01/2021
43,Los Gigantes,Jalisco,8.85,7.5,4.33,0.58,30/01/2021
44,Danxho,Estado de México,32.67,31.05,13.99,0.45,30/01/2021
45,De Gonzalo,Michoacán,10,8.84,5.38,0.61,30/01/2021
46,Derivadora Las Blancas,Tamaulipas,133.43,83.78,15.39,0.18,30/01/2021
47,Der. Potrerillos,Aguascalientes,2.1,2.04,1.21,0.59,30/01/2021
48,Los Arcos,Querétaro,8.04,5.79,1.4,0.24,30/01/2021
49,El Bosque,Michoacán,220.1,202.4,111,0.55,30/01/2021
50,El Carrizo,Baja California,44.59,40.87,22.04,0.54,30/01/2021
51,El Cazadero,Zacatecas,44.68,22.18,20.37,0.92,30/01/2021
52,El Centenario,Coahuila,25.71,24.59,16.59,0.67,30/01/2021
53,El Centenario,Querétaro,14.18,9.78,2.25,0.23,30/01/2021
54,El Chique,Zacatecas,192.57,138.91,90.19,0.65,30/01/2021
55,El Cuarenta,Jalisco,38.96,30.63,11.1,0.36,30/01/2021
