dam_id,dam_name,state,name_storage,namo_storage,current_storage,fill_percent,log_date
1,Aguamilpa,Nayarit,4047.31,2850.71,1371.35,0.48,18/01/2021
2,Laguna de Catemaco,Veracruz,133.22,88.26,83.11,0.94,18/01/2021
3,Angostura,Chiapas,17356.9,13169.63,11939.77,0.91,18/01/2021
4,Infiernillo,Michoacán,11880.78,6054.31,3302.4,0.55,18/01/2021
5,La Yesca,Jalisco,1491.99,1392.02,785.63,0.56,18/01/2021
6,El Caracol,Guerrero,823.39,697.46,697.92,1,18/01/2021
7,Zimapán,Hidalgo,769,699,542.42,0.78,18/01/2021
8,La Villita,Michoacán,362.31,221.29,187.06,0.85,18/01/2021
9,Apulco o Mazatepec,Puebla,13.62,12.54,5.02,0.4,18/01/2021
10,El Cajón,Nayarit,1446.1,1335.13,824.27,0.62,18/01/2021
11,Huites,Sinaloa,4069.09,2703.99,15.24,0.01,18/01/2021
12,Santa Rosa,Jalisco,211.13,195.63,112.83,0.58,18/01/2021
13,Chicoasén,Chiapas,259.56,205.98,176.71,0.86,18/01/2021
14,Malpaso Raudales de Malpaso,Chiapas,11000.59,9317.39,7601.79,0.82,18/01/2021
15,El Novillo,Sonora,3312.48,2633.58,1174.05,0.45,18/01/2021
16,Temascal,Oaxaca,7884.64,6898.19,4219.64,0.61,18/01/2021
17,Peñitas,Chiapas,397.12,215.04,172.47,0.8,18/01/2021
18,Abelardo L. Rodríguez,Aguascalientes,18.82,16,5.3,0.33,18/01/2021
19,Abelardo L. Rodríguez o Tijuana,Baja California,121.39,76.9,14.56,0.19,18/01/2021
20,Hermosillo,Sonora,284.47,219.52,0,0,18/01/2021
21,Guadalupe,Chihuahua,102.89,79.35,35.3,0.44,18/01/2021
22,Vaqueros,Jalisco,12.21,7.36,3.3,0.45,18/01/2021
23,El Humaya o El Varejonal,Sinaloa,4034.52,3086.61,1003.24,0.33,18/01/2021
24,Mocuzari,Sonora,1822.14,1039.84,231.73,0.22,18/01/2021
25,Mata De Pinos,Michoacán,18.75,15.68,13.18,0.84,18/01/2021
26,Dique 10 Son.,Sonora,41.16,37.58,34.99,0.93,18/01/2021
27,Las Garzas,Guerrero,133.03,102.5,89.12,0.87,18/01/2021
28,Wilson,Michoacán,28.31,25.34,5.76,0.23,18/01/2021
29,Las Piedras,Jalisco,146.89,124.75,115.52,0.93,18/01/2021
30,Canoas,Durango,57.88,45,42.75,0.95,18/01/2021
31,Tomatlán o El Tule,Jalisco,707.62,466.69,433.61,0.93,18/01/2021
32,Cañada del Lobo S.L.P.,San Luis Potosí,2.16,1.24,0.33,0.27,18/01/2021
33,Chihuahua,Chihuahua,35.63,23.38,12.09,0.52,18/01/2021
34,Chila,Jalisco,1,0.76,0.59,0.77,18/01/2021
35,San José de Gracia,Aguascalientes,5.04,4.1,3.97,0.97,18/01/2021
36,Cointzio,Michoacán,79.23,68.52,45.36,0.66,18/01/2021
37,Hidalgo,Querétaro,76.46,66.08,5.61,0.08,18/01/2021
38,Chilatan,Michoacán,807.15,590.03,441.09,0.75,18/01/2021
39,Copándaro De Corrales,Michoacán,9.72,2.75,0.06,0.02,18/01/2021
40,Corrinchis,Jalisco,29,20,12.17,0.61,18/01/2021
41,Santa Teresa,Sonora,66.33,41.47,2.55,0.06,18/01/2021
42,El Cuchillo,Nuevo León,1784.29,1123.14,1071.35,0.95,18/01/2021
43,Los Gigantes,Jalisco,8.85,7.5,4.33,0.58,18/01/2021
44,Danxho,Estado de México,32.67,31.05,14.04,0.45,18/01/2021
45,De Gonzalo,Michoacán,10,8.84,5.38,0.61,18/01/2021
46,Derivadora Las Blancas,Tamaulipas,133.43,83.78,15.85,0.19,18/01/2021
47,Der. Potrerillos,Aguascalientes,2.1,2.04,1.21,0.59,18/01/2021
48,Los Arcos,Querétaro,8.04,5.79,1.46,0.25,18/01/2021
49,El Bosque,Michoacán,220.1,202.4,115.62,0.57,18/01/2021
50,El Carrizo,Baja California,44.59,40.87,21.24,0.52,18/01/2021
51,El Cazadero,Zacatecas,44.68,22.18,20.41,0.92,18/01/2021
52,El Centenario,Coahuila,25.71,24.59,15.68,0.64,18/01/2021
53,El Centenario,Querétaro,14.18,9.78,2.52,0.26,18/01/2021
54,El Chique,Zacatecas,192.57,138.91,91.55,0.66,18/01/2021
55,El Cuarenta,Jalisco,38.96,30.63,11.25,0.37,18/01/2021
56,El Estribón,Jalisco,7.74,6.38,5.05,0.79,18/01/2021
57,El Gallo,Guerrero,545.97,400.04,360.16,0.9,18/01/2021
58,El Granero,Chihuahua,832.41,292.47,137.5,0.47,18/01/2021
59,Molinitos,Estado de México,8.7,7.69,0.94,0.12,18/01/2021
60,Piedra Labrada,Veracruz,8.13,2.5,2.43,0.97,18/01/2021
61,El Niagara,Aguascalientes,31.7,16.19,16.25,1,18/01/2021
62,El Palote,Guanajuato,17.16,9.64,5.92,0.61,18/01/2021
63,El Potosino,San Luis Potosí,5.2,3.29,1.59,0.48,18/01/2021
64,El Rejón,Chihuahua,7.76,6.53,3.45,0.53,18/01/2021
65,El Rodeo,Morelos,33.14,26.98,8.35,0.31,18/01/2021
66,El Salto,Jalisco,118.54,85,79.39,0.93,18/01/2021
67,El Tigre,Durango,18.56,14,6.71,0.48,18/01/2021
68,El Tintero,Chihuahua,216.7,125.08,23.24,0.19,18/01/2021
69,Ensenada,Baja California,6.34,2.73,1.25,0.46,18/01/2021
70,Endó,Hidalgo,208.65,182.9,158.89,0.87,18/01/2021
71,Las Ánimas,Tamaulipas,654.37,563.44,274.61,0.49,18/01/2021
72,Isla de las Aves o El Salto,Estado de México,12.32,9.93,4.4,0.44,18/01/2021
73,El Bosque,Durango,96.57,73.26,69.22,0.94,18/01/2021
74,Las Tortolas,Durango,383.16,309.24,270.66,0.88,18/01/2021
75,Trujillo,Zacatecas,125.92,95.72,52.92,0.55,18/01/2021
76,El Peaje,San Luis Potosí,9.05,6.69,1.31,0.2,18/01/2021
77,San Antonio,Michoacán,29.79,28.68,4.26,0.15,18/01/2021
78,Bacurato,Sinaloa,2687.07,1618.75,518.27,0.32,18/01/2021
79,Huapango,Estado de México,126.5,121.3,12.19,0.1,18/01/2021
80,Valencia,Jalisco,22.63,21.73,15.1,0.69,18/01/2021
81,La Begoña,Guanajuato,241.41,170.79,27.95,0.16,18/01/2021
82,Punta de Agua,Sonora,29.69,16.16,0.53,0.03,18/01/2021
83,La Gavia,Estado de México,36.3,20.23,20.36,1.01,18/01/2021
84,Santa Teresa,Zacatecas,13.94,9.17,7.82,0.85,18/01/2021
85,El Salto o Elota,Sinaloa,815.59,403.9,174.05,0.43,18/01/2021
86,Agua Puerca,Durango,56.06,30.76,14.65,0.48,18/01/2021
87,Puente Calderón,Jalisco,100,80,17.42,0.22,18/01/2021
88,El Sabinal o El Cajón,Sinaloa,469.2,294.58,83.47,0.28,18/01/2021
89,La Pólvora,Jalisco,56.15,51.68,28.79,0.56,18/01/2021
90,Tayahua,Zacatecas,50.38,31.6,24.14,0.76,18/01/2021
91,El Molinito,Sonora,222.47,121.2,9.87,0.08,18/01/2021
92,La Vega,Jalisco,80,44.04,38.14,0.87,18/01/2021
93,Falcón,Tamaulipas,1607.96,1351.63,73.26,0.05,18/01/2021
94,La Amistad,Coahuila,2707.44,1769.66,86.26,0.05,18/01/2021
95,Jalpan,Querétaro,11.2,8,8,1,18/01/2021
96,Jaripo,Michoacán,9.27,6.03,1.97,0.33,18/01/2021
97,La Peña,Hidalgo,43.32,39.99,31.12,0.78,18/01/2021
98,Der. Jocoqui,Aguascalientes,11.4,10.98,10.63,0.97,18/01/2021
99,El Sabino,Sinaloa,685.11,519.28,403.88,0.78,18/01/2021
100,San Bernabé,Estado de México,52.51,35.31,4.07,0.12,18/01/2021
101,Cerro Prieto,Nuevo León,393,300,71,0.24,18/01/2021
102,El Comedero,Sinaloa,3966.17,2580.19,752.34,0.29,18/01/2021
103,La Villita,Zacatecas,11.17,9.02,7,0.78,18/01/2021
104,Vinoramas,Sinaloa,102,54.68,16.64,0.3,18/01/2021
105,El Portillo II o Cuxtepeques,Chiapas,116.11,68.15,68.54,1.01,18/01/2021
106,Lago Toronto,Chihuahua,3453.58,2893.57,889.17,0.31,18/01/2021
107,La Calera,Guerrero,34.19,9.39,9.39,1,18/01/2021
108,La Cangrejera,Veracruz,31.6,28.54,28.98,1.02,18/01/2021
109,La Codorniz,Aguascalientes,6.53,5.37,4.08,0.76,18/01/2021
110,La Colonia,Jalisco,6.5,5.78,3.34,0.58,18/01/2021
111,La Concepción,Estado de México,12.6,12.11,6.84,0.56,18/01/2021
112,La Esperanza,Hidalgo,4.2,3.92,3.7,0.94,18/01/2021
113,La Fragua,Coahuila,85.38,47.3,13.49,0.29,18/01/2021
114,La Golondrina,Guanajuato,5.97,4.67,2.66,0.57,18/01/2021
115,Tejocotal,Hidalgo,49.23,40.64,9.63,0.24,18/01/2021
116,Divino Redentor,Querétaro,14.41,9.31,0,0,18/01/2021
117,La Muñeca,San Luis Potosí,31,24.14,7.23,0.3,18/01/2021
118,La Purísima,Guanajuato,181.93,110,59.86,0.54,18/01/2021
119,La Red,Jalisco,18.3,14.25,7.98,0.56,18/01/2021
120,Garabatillos,Jalisco,21.5,16,5.09,0.32,18/01/2021
121,La Soledad,Guanajuato,2.37,1.86,1.52,0.82,18/01/2021
122,La Venta,Querétaro,3.78,2.48,0,0,18/01/2021
123,Chapala,Jalisco,9279.71,8126.41,4762.1,0.59,18/01/2021
124,Tecoman,Colima,41.3,38.34,28.94,0.75,18/01/2021
125,Laguna de Tuxpan,Guerrero,19.5,17.65,13.47,0.76,18/01/2021
126,B. de Tavamatacheo,Guanajuato,325.2,278.79,69.65,0.25,18/01/2021
127,Laguna del Fresno,Michoacán,13.13,10.3,2.97,0.29,18/01/2021
128,Las Auras B.C.,Baja California,5.1,5.01,1.92,0.38,18/01/2021
129,Las Lajas,Chihuahua,106.55,83.27,13.24,0.16,18/01/2021
130,Las Vírgenes,Chihuahua,477.62,355.29,63.64,0.18,18/01/2021
131,San Lorenzo,Tamaulipas,255.65,230.78,88.13,0.38,18/01/2021
132,Guamuchil,Sinaloa,264.95,80.08,31.41,0.39,18/01/2021
133,Moraleños,Zacatecas,26.07,20.93,11.01,0.53,18/01/2021
134,Naranjos,Durango,27.39,20.93,20.86,1,18/01/2021
135,Los Olivos,Michoacán,16.27,10.26,7.14,0.7,18/01/2021
136,Omiltepec,Hidalgo,29.26,24.03,7.47,0.31,18/01/2021
137,Tres Mezquites,Michoacán,17.1,14.59,0.05,0,18/01/2021
138,El Palmito,Durango,4278.54,2957.61,1656.16,0.56,18/01/2021
139,La Angostura,Sonora,1116.46,703.38,484.31,0.69,18/01/2021
140,Madín,Estado de México,17.96,9.37,7.52,0.8,18/01/2021
141,La Cienega,Michoacán,27.25,18.51,17.26,0.93,18/01/2021
142,Lobatos,Zacatecas,9.44,6.91,6.24,0.9,18/01/2021
143,Valsequillo o Balcón del Diablo,Puebla,391.49,300.65,282.73,0.94,18/01/2021
144,San Antonio de Aceves,Guanajuato,23.95,20.08,10.09,0.5,18/01/2021
145,El Azucar,Tamaulipas,2208.66,781.7,697.23,0.89,18/01/2021
146,Media Luna,Aguascalientes,21.2,15,3.96,0.26,18/01/2021
147,El Rosario,Michoacán,249.84,194.45,172.32,0.89,18/01/2021
148,Excamé,Zacatecas,70.92,64.53,41.8,0.65,18/01/2021
149,El Mahone,Sinaloa,4171.27,3312.89,1494.93,0.45,18/01/2021
150,Cerro de Oro,Oaxaca,3547.16,2599.51,1916.01,0.74,18/01/2021
151,Necaxa,Puebla,39.28,29.06,19.36,0.67,18/01/2021
152,Nexapa,Puebla,15.31,12.5,3.87,0.31,18/01/2021
153,Palomas,Zacatecas,8.76,4.62,4.11,0.89,18/01/2021
154,Chicayán,Veracruz,572.32,220,131.31,0.6,18/01/2021
155,Pedro José Méndez,Tamaulipas,38.36,31.26,15.86,0.51,18/01/2021
156,Peña del Águila,Durango,54.9,27.95,25.58,0.92,18/01/2021
157,Peñuelitas,Guanajuato,30.17,17.46,1.9,0.11,18/01/2021
158,Pico del Águila,Chihuahua,59.84,48.28,23.52,0.49,18/01/2021
159,Piedras Azules Chih.,Chihuahua,13.19,8.71,4.8,0.55,18/01/2021
160,Calles,Aguascalientes,407.44,358.12,124.75,0.35,18/01/2021
161,El Marqués,Oaxaca,1726.75,720.32,551.14,0.77,18/01/2021
162,El Tunal,Durango,94.62,78.06,76.16,0.98,18/01/2021
163,Pucuato,Michoacán,11.53,9.49,6.01,0.63,18/01/2021
164,Pátzcuaro Mich.,Michoacán,1135.57,646.58,349.65,0.54,18/01/2021
165,Trigomil,Jalisco,324,250,205.48,0.82,18/01/2021
166,Boca del Tesorero,Zacatecas,36.74,26.22,8.86,0.34,18/01/2021
167,Real Viejo o El Sombrero,Tamaulipas,105.99,54.78,16.59,0.3,18/01/2021
168,Requena,Hidalgo,61.52,51.57,22.3,0.43,18/01/2021
169,El Guineo,Guerrero,259.5,126.69,126.54,1,18/01/2021
170,La Boca,Nuevo León,42.66,39.49,31.25,0.79,18/01/2021
171,Sabaneta,Michoacán,5.88,5.04,5.04,1,18/01/2021
172,Salinillas,Nuevo León,19.01,19.01,9.26,0.49,18/01/2021
173,Tepetitlán,Estado de México,81.03,59.97,59.81,1,18/01/2021
174,Federalismo Mexicano,Durango,377.34,245.43,74.87,0.31,18/01/2021
175,El Tepozán,Querétaro,58.03,47.81,5.16,0.11,18/01/2021
176,Atlanga,Tlaxcala,47.97,42.63,28.22,0.66,18/01/2021
177,San José,San Luis Potosí,5.66,5.22,4.64,0.89,18/01/2021
178,La Laguna,Michoacán,71.69,60.55,36.73,0.61,18/01/2021
179,San Miguel,Coahuila,22.19,21.17,14.9,0.7,18/01/2021
180,San Rafael,Nayarit,35.59,26.18,23.01,0.88,18/01/2021
181,Sanalona,Sinaloa,987.52,687.99,410.4,0.6,18/01/2021
182,Tanque Santa Elena,Durango,18.77,15.08,13.27,0.88,18/01/2021
183,Santa Rosa,Zacatecas,14.04,10.48,9.2,0.88,18/01/2021
184,Santiago Bayacora,Durango,169.87,130.05,125.85,0.97,18/01/2021
185,Santiago,Zacatecas,11.42,6.2,5.03,0.81,18/01/2021
186,Guadalupe,Estado de México,64.08,56.91,32.14,0.56,18/01/2021
187,Trojes,Colima,285.74,203.39,176.56,0.87,18/01/2021
188,Solís,Guanajuato,1214.14,800,643.42,0.8,18/01/2021
189,Tacotán,Jalisco,169,149.24,124.54,0.83,18/01/2021
190,Sistema lagunario Chairel,Tamaulipas,854,676,449,0.66,18/01/2021
191,Taxhimay,Hidalgo,47.39,39.91,29.51,0.74,18/01/2021
192,Tenango,Puebla,46.58,28.48,6.3,0.22,18/01/2021
193,Boquilla de Zaragoza,Jalisco,13.85,10.49,3.24,0.31,18/01/2021
194,Tepuxtepec,Michoacán,537.53,450,364.1,0.81,18/01/2021
195,Chincua,Michoacán,17.33,14.97,9.36,0.63,18/01/2021
196,Urepetiro,Michoacán,10.92,8.28,4.78,0.58,18/01/2021
197,Ojo Caliente,San Luis Potosí,22.4,9.51,0.67,0.07,18/01/2021
198,Tepecoacuilco,Guerrero,51.73,31.01,14.55,0.47,18/01/2021
199,Valle de Bravo,Estado de México,449.42,394.39,258.8,0.66,18/01/2021
200,Don Martín,Coahuila,1322.37,874.1,184.77,0.21,18/01/2021
201,Las Golondrinas,Hidalgo,19.69,17.8,7.19,0.4,18/01/2021
202,Valle de Juárez,Jalisco,18.12,14.44,10.32,0.71,18/01/2021
203,Palos Altos,Guerrero,300,249.49,218.37,0.88,18/01/2021
204,Las Adjuntas,Tamaulipas,5498.23,3910.69,1874.16,0.48,18/01/2021
205,Villa Hidalgo,Durango,39.56,23.08,7.78,0.34,18/01/2021
206,Villa Victoria,Estado de México,249.94,185.72,92.9,0.5,18/01/2021
207,San Marcos Arteaga,Oaxaca,57.26,47.23,47.26,1,18/01/2021
208,La Peña,Michoacán,47.49,36.29,27.75,0.76,18/01/2021
209,El Oviachic,Sonora,4478.22,3023.14,1736.64,0.57,18/01/2021
210,Ñado,Estado de México,18.5,16.8,7.83,0.47,18/01/2021
