dam_id,dam_name,state,name_storage,namo_storage,current_storage,fill_percent,log_date
1,Aguamilpa,Nayarit,4047.31,2850.71,1462.87,0.51,02/01/2021
2,Laguna de Catemaco,Veracruz,133.22,88.26,79.43,0.9,02/01/2021
3,Angostura,Chiapas,17356.9,13169.63,12094.3,0.92,02/01/2021
4,Infiernillo,Michoacán,11880.78,6054.31,3502.5,0.58,02/01/2021
5,La Yesca,Jalisco,1491.99,1392.02,777.72,0.56,02/01/2021
6,El Caracol,Guerrero,823.39,697.46,675.57,0.97,02/01/2021
7,Zimapán,Hidalgo,769,699,530.89,0.76,02/01/2021
8,La Villita,Michoacán,362.31,221.29,190.87,0.86,02/01/2021
9,Apulco o Mazatepec,Puebla,13.62,12.54,5.01,0.4,02/01/2021
10,El Cajón,Nayarit,1446.1,1335.13,827.23,0.62,02/01/2021
11,Huites,Sinaloa,4069.09,2703.99,149.76,0.06,02/01/2021
12,Santa Rosa,Jalisco,211.13,195.63,100.73,0.51,02/01/2021
13,Chicoasén,Chiapas,259.56,205.98,176.71,0.86,02/01/2021
14,Malpaso Raudales de Malpaso,Chiapas,11000.59,9317.39,7866.23,0.84,02/01/2021
15,El Novillo,Sonora,3312.48,2633.58,1217.74,0.46,02/01/2021
16,Temascal,Oaxaca,7884.64,6898.19,4211.7,0.61,02/01/2021
17,Peñitas,Chiapas,397.12,215.04,172.27,0.8,02/01/2021
18,Abelardo L. Rodríguez,Aguascalientes,18.82,16,5.48,0.34,02/01/2021
19,Abelardo L. Rodríguez o Tijuana,Baja California,121.39,76.9,14.58,0.19,02/01/2021
20,Hermosillo,Sonora,284.47,219.52,0,0,02/01/2021
21,Guadalupe,Chihuahua,102.89,79.35,35.59,0.45,02/01/2021
22,Vaqueros,Jalisco,12.21,7.36,3.41,0.46,02/01/2021
23,El Humaya o El Varejonal,Sinaloa,4034.52,3086.61,1061.11,0.34,02/01/2021
24,Mocuzari,Sonora,1822.14,1039.84,281.68,0.27,02/01/2021
25,Mata De Pinos,Michoacán,18.75,15.68,13.77,0.88,02/01/2021
26,Dique 10 Son.,Sonora,41.16,37.58,35.99,0.96,02/01/2021
27,Las Garzas,Guerrero,133.03,102.5,93.57,0.91,02/01/2021
28,Wilson,Michoacán,28.31,25.34,5.97,0.24,02/01/2021
29,Las Piedras,Jalisco,146.89,124.75,122.46,0.98,02/01/2021
30,Canoas,Durango,57.88,45,43.23,0.96,02/01/2021
31,Tomatlán o El Tule,Jalisco,707.62,466.69,450.3,0.96,02/01/2021
32,Cañada del Lobo S.L.P.,San Luis Potosí,2.16,1.24,0.35,0.28,02/01/2021
33,Chihuahua,Chihuahua,35.63,23.38,12.18,0.52,02/01/2021
34,Chila,Jalisco,1,0.76,0.59,0.77,02/01/2021
35,San José de Gracia,Aguascalientes,5.04,4.1,3.98,0.97,02/01/2021
36,Cointzio,Michoacán,79.23,68.52,46.35,0.68,02/01/2021
37,Hidalgo,Querétaro,76.46,66.08,6.98,0.11,02/01/2021
38,Chilatan,Michoacán,807.15,590.03,468.72,0.79,02/01/2021
39,Copándaro De Corrales,Michoacán,9.72,2.75,0.06,0.02,02/01/2021
40,Corrinchis,Jalisco,29,20,12.6,0.63,02/01/2021
41,Santa Teresa,Sonora,66.33,41.47,2.86,0.07,02/01/2021
42,El Cuchillo,Nuevo León,1784.29,1123.14,1080.02,0.96,02/01/2021
43,Los Gigantes,Jalisco,8.85,7.5,4.33,0.58,02/01/2021
44,Danxho,Estado de México,32.67,31.05,14.11,0.45,02/01/2021
45,De Gonzalo,Michoacán,10,8.84,5.38,0.61,02/01/2021
46,Derivadora Las Blancas,Tamaulipas,133.43,83.78,16.58,0.2,02/01/2021
47,Der. Potrerillos,Aguascalientes,2.1,2.04,1.21,0.59,02/01/2021
48,Los Arcos,Querétaro,8.04,5.79,1.76,0.3,02/01/2021
49,El Bosque,Michoacán,220.1,202.4,124.3,0.61,02/01/2021
50,El Carrizo,Baja California,44.59,40.87,20.67,0.51,02/01/2021
51,El Cazadero,Zacatecas,44.68,22.18,20.5,0.92,02/01/2021
52,El Centenario,Coahuila,25.71,24.59,15.51,0.63,02/01/2021
53,El Centenario,Querétaro,14.18,9.78,2.81,0.29,02/01/2021
54,El Chique,Zacatecas,192.57,138.91,93.54,0.67,02/01/2021
55,El Cuarenta,Jalisco,38.96,30.63,11.33,0.37,02/01/2021
56,El Estribón,Jalisco,7.74,6.38,5.05,0.79,02/01/2021
57,El Gallo,Guerrero,545.97,400.04,383.09,0.96,02/01/2021
58,El Granero,Chihuahua,832.41,292.47,127.28,0.44,02/01/2021
59,Molinitos,Estado de México,8.7,7.69,1.41,0.18,02/01/2021
60,Piedra Labrada,Veracruz,8.13,2.5,2.47,0.99,02/01/2021
61,El Niagara,Aguascalientes,31.7,16.19,16.22,1,02/01/2021
62,El Palote,Guanajuato,17.16,9.64,6.13,0.64,02/01/2021
63,El Potosino,San Luis Potosí,5.2,3.29,1.7,0.52,02/01/2021
64,El Rejón,Chihuahua,7.76,6.53,3.47,0.53,02/01/2021
65,El Rodeo,Morelos,33.14,26.98,9.4,0.35,02/01/2021
66,El Salto,Jalisco,118.54,85,79.75,0.94,02/01/2021
67,El Tigre,Durango,18.56,14,6.9,0.49,02/01/2021
